"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 14 11:52:52 GMT 2025","Fri Feb 14 11:52:58 GMT 2025","5563","chromium","test.spec.ts","","","","New test - should fail",""
"passed","Fri Feb 14 11:52:51 GMT 2025","Fri Feb 14 11:52:51 GMT 2025","801","chromium","test.spec.ts","","","","Successful login",""
"passed","Fri Feb 14 11:52:52 GMT 2025","Fri Feb 14 11:52:52 GMT 2025","587","chromium","test.spec.ts","","","","Login with wrong password is not possible",""
