"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 13 13:32:50 GMT 2025","Thu Feb 13 13:32:51 GMT 2025","680","chromium","test.spec.ts","","","","New test - fail",""
"passed","Thu Feb 13 13:32:48 GMT 2025","Thu Feb 13 13:32:49 GMT 2025","1429","chromium","test.spec.ts","","","","Successful login",""
"passed","Thu Feb 13 13:32:49 GMT 2025","Thu Feb 13 13:32:50 GMT 2025","705","chromium","test.spec.ts","","","","Login with wrong password is not possible",""
