"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 13 10:25:54 GMT 2025","Thu Feb 13 10:25:55 GMT 2025","850","chromium","test.spec.ts","","","","Successful login",""
"passed","Thu Feb 13 10:25:55 GMT 2025","Thu Feb 13 10:25:55 GMT 2025","575","chromium","test.spec.ts","","","","Login with wrong password is not possible",""
"passed","Thu Feb 13 10:25:55 GMT 2025","Thu Feb 13 10:25:56 GMT 2025","523","chromium","test.spec.ts","","","","News test - fail",""
