"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 13 10:12:55 GMT 2025","Thu Feb 13 10:12:57 GMT 2025","1511","chromium","test.spec.ts","","","","Successful login",""
"passed","Thu Feb 13 10:12:59 GMT 2025","Thu Feb 13 10:13:00 GMT 2025","488","chromium","test.spec.ts","","","","Login with wrong password is not possible",""
