"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 13 10:16:43 GMT 2025","Thu Feb 13 10:16:44 GMT 2025","841","chromium","test.spec.ts","","","","Successful login",""
"passed","Thu Feb 13 10:16:44 GMT 2025","Thu Feb 13 10:16:45 GMT 2025","545","chromium","test.spec.ts","","","","News test - fail",""
"passed","Thu Feb 13 10:16:44 GMT 2025","Thu Feb 13 10:16:44 GMT 2025","555","chromium","test.spec.ts","","","","Login with wrong password is not possible",""
